Model,Displacement,# of Cylinders,Transmission,Drive,Fuel,Type,City MPG,Highway MPG,Combined MPG
JEEP Compass,2.4,4.0,Auto-6,2WD,Gasoline,small SUV,22,31,25
JEEP Compass,2.4,4.0,Auto-9,4WD,Gasoline,small SUV,22,30,25
JEEP Compass,2.4,4.0,Man-6,2WD,Gasoline,small SUV,23,32,26
JEEP Compass,2.4,4.0,Man-6,4WD,Gasoline,small SUV,22,31,25
JEEP Gladiator,3.6,6.0,Auto-8,4WD,Gasoline,pickup,17,22,19
JEEP Gladiator,3.6,6.0,Man-6,4WD,Gasoline,pickup,16,23,19
JEEP Grand Cherokee,3.6,6.0,Auto-8,2WD,Gasoline,standard SUV,19,26,21
JEEP Grand Cherokee,3.6,6.0,Auto-8,4WD,Gasoline,standard SUV,18,25,21
JEEP Grand Cherokee SRT,6.4,8.0,Auto-8,4WD,Gasoline,standard SUV,13,19,15
JEEP Grand Cherokee Trackhawk,6.2,8.0,Auto-8,4WD,Gasoline,standard SUV,11,17,13
JEEP Renegade,1.3,4.0,Auto-9,2WD,Gasoline,small SUV,24,32,27
JEEP Renegade,1.3,4.0,Auto-9,4WD,Gasoline,small SUV,23,29,26
JEEP Renegade Trailhawk,1.3,4.0,Auto-9,4WD,Gasoline,small SUV,22,27,24
JEEP Wrangler,2.0,4.0,Auto-8,4WD,Gasoline,small SUV,21,22,21
JEEP Wrangler,3.6,6.0,Man-6,4WD,Gasoline,small SUV,17,25,20
JEEP Wrangler Unlimited,2.0,4.0,Auto-8,4WD,Gasoline,small SUV,21,22,21
JEEP Wrangler Unlimited,3.0,6.0,Auto-8,4WD,Diesel,small SUV,22,29,25
JEEP Wrangler Unlimited,3.6,6.0,Man-6,4WD,Gasoline,small SUV,17,23,19
KARMA Revero GT (21-inch wheels),1.5,3.0,Auto-1,2WD,Gasoline/Electricity,small car,27,25,26
KIA Cadenza,3.3,6.0,SemiAuto-8,2WD,Gasoline,large car,20,28,23
KIA Forte,1.6,4.0,AutoMan-7,2WD,Gasoline,midsize car,27,35,30
KIA Forte,1.6,4.0,Man-6,2WD,Gasoline,midsize car,25,32,28
KIA Forte,2.0,4.0,CVT,2WD,Gasoline,midsize car,29,40,33
KIA Forte FE,2.0,4.0,CVT,2WD,Gasoline,midsize car,31,41,35
KIA K900,3.3,6.0,SemiAuto-8,4WD,Gasoline,large car,18,25,21
KIA Niro,1.6,4.0,AutoMan-6,2WD,Gasoline,station wagon,51,46,49
KIA Niro Electric,,,Auto-1,2WD,Electricity,station wagon,123,102,112
KIA Niro FE,1.6,4.0,AutoMan-6,2WD,Gasoline,station wagon,52,49,50
KIA Niro Plug-in Hybrid,1.6,4.0,AutoMan-6,2WD,Gasoline/Electricity,station wagon,48,44,46
KIA Niro Touring,1.6,4.0,AutoMan-6,2WD,Gasoline,station wagon,46,40,43
KIA Optima,1.6,4.0,AutoMan-7,2WD,Gasoline,large car,27,37,31
KIA Optima,2.0,4.0,SemiAuto-6,2WD,Gasoline,large car,21,30,24
KIA Optima FE,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,25,35,29
KIA Optima Hybrid,2.0,4.0,AutoMan-6,2WD,Gasoline,midsize car,40,45,42
KIA Optima plug-in hybrid,2.0,4.0,AutoMan-6,2WD,Gasoline/Electricity,midsize car,39,44,41
KIA Rio,1.6,4.0,CVT,2WD,Gasoline,small car,33,41,36
KIA Sedona,3.3,6.0,SemiAuto-8,2WD,Gasoline,minivan,18,24,21
KIA Sorento,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,22,29,25
KIA Sorento,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,21,26,23
KIA Sorento,3.3,6.0,SemiAuto-8,2WD,Gasoline,small SUV,19,26,22
KIA Sorento,3.3,6.0,SemiAuto-8,4WD,Gasoline,small SUV,18,24,20
KIA Soul,1.6,4.0,AMS-7,2WD,Gasoline,station wagon,27,32,29
KIA Soul,2.0,4.0,CVT,2WD,Gasoline,station wagon,27,33,30
KIA Soul,2.0,4.0,Man-6,2WD,Gasoline,station wagon,25,31,27
KIA Soul Eco dynamics,2.0,4.0,CVT,2WD,Gasoline,station wagon,29,35,31
KIA Soul Electric,,,Auto-1,2WD,Electricity,station wagon,127,101,114
KIA Sportage,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,20,28,23
KIA Sportage,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,19,24,21
KIA Stinger,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,22,29,25
KIA Stinger,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,21,29,24
KIA Telluride,3.8,6.0,SemiAuto-8,2WD,Gasoline,small SUV,20,26,23
KIA Telluride,3.8,6.0,SemiAuto-8,4WD,Gasoline,small SUV,19,24,21
LAMBORGHINI Aventador Coupe,6.5,12.0,AMS-7,4WD,Gasoline,small car,9,15,11
LAMBORGHINI Aventador Roadster,6.5,12.0,AMS-7,4WD,Gasoline,small car,9,15,11
LAMBORGHINI Huracan,5.2,10.0,AMS-7,2WD,Gasoline,small car,13,18,15
LAMBORGHINI Huracan,5.2,10.0,AMS-7,4WD,Gasoline,small car,13,18,15
LAMBORGHINI Huracan Spyder,5.2,10.0,AMS-7,2WD,Gasoline,small car,13,18,15
LAMBORGHINI Huracan Spyder,5.2,10.0,AMS-7,4WD,Gasoline,small car,13,18,15
LAMBORGHINI Urus,4.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,12,17,14
LAND ROVER Defender 110,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,17,20,18
LAND ROVER Defender 110 MHEV,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,17,22,19
LAND ROVER Defender 90,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,18,21,19
LAND ROVER Defender 90 MHEV,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,17,22,19
LAND ROVER Discovery,3.0,6.0,SemiAuto-8,4WD,Diesel,standard SUV,21,26,23
LAND ROVER Discovery,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,16,21,18
LAND ROVER Discovery Sport,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,19,24,21
LAND ROVER Discovery Sport MHEV,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,19,24,21
LAND ROVER Evoque,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,20,27,23
LAND ROVER Evoque MHEV,2.0,4.0,SemiAuto-9,4WD,Gasoline,small SUV,21,26,23
LAND ROVER Range Rover,3.0,6.0,SemiAuto-8,4WD,Diesel,standard SUV,22,28,24
LAND ROVER Range Rover,5.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,16,21,18
LAND ROVER Range Rover LWB,5.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,16,21,18
LAND ROVER Range Rover LWB SVA,5.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,13,19,15
LAND ROVER Range Rover MHEV,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,19,24,21
LAND ROVER Range Rover PHEV,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,standard SUV,18,21,19
LAND ROVER Range Rover SVA,5.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,14,19,16
LAND ROVER Range Rover Sport,3.0,6.0,SemiAuto-8,4WD,Diesel,standard SUV,22,28,24
LAND ROVER Range Rover Sport,5.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,17,22,19
LAND ROVER Range Rover Sport PHEV,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,standard SUV,18,21,19
LAND ROVER Range Rover Sport SVR,5.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,15,20,16
LAND ROVER Range Rover Velar,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,21,27,23
LAND ROVER Range Rover Velar P300,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,20,26,22
LAND ROVER Range Rover Velar P380,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,18,24,20
LEXUS ES 300h,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,43,44,44
LEXUS ES 350,3.5,6.0,SemiAuto-8,2WD,Gasoline,midsize car,22,32,26
LEXUS ES 350 F Sport,3.5,6.0,SemiAuto-8,2WD,Gasoline,midsize car,22,31,25
LEXUS GS 350,3.5,6.0,SemiAuto-6,4WD,Gasoline,midsize car,19,26,21
LEXUS GS 350,3.5,6.0,SemiAuto-8,2WD,Gasoline,midsize car,20,28,23
LEXUS GS 350 F Sport,3.5,6.0,SemiAuto-8,2WD,Gasoline,midsize car,19,27,22
LEXUS GS F,5.0,8.0,SemiAuto-8,2WD,Gasoline,small car,16,24,19
LEXUS GX 460,4.6,8.0,SemiAuto-6,4WD,Gasoline,standard SUV,15,19,16
LEXUS IS 300,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,21,30,24
LEXUS IS 300,3.5,6.0,SemiAuto-6,4WD,Gasoline,small car,18,24,21
LEXUS IS 350,3.5,6.0,SemiAuto-6,4WD,Gasoline,small car,19,26,21
LEXUS IS 350,3.5,6.0,SemiAuto-8,2WD,Gasoline,small car,20,28,23
LEXUS LC 500,5.0,8.0,SemiAuto-10,2WD,Gasoline,small car,16,25,19
LEXUS LC 500h,3.5,6.0,SCV-10,2WD,Gasoline,small car,27,35,30
LEXUS LS 500,3.4,6.0,SemiAuto-10,2WD,Gasoline,midsize car,19,30,23
LEXUS LS 500,3.4,6.0,SemiAuto-10,4WD,Gasoline,midsize car,18,27,21
LEXUS LS 500h,3.5,6.0,SCV-10,2WD,Gasoline,midsize car,25,33,28
LEXUS LS 500h,3.5,6.0,SCV-10,4WD,Gasoline,midsize car,23,31,26
LEXUS LX 570,5.7,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,12,16,14
LEXUS NX 300,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,22,28,25
LEXUS NX 300,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,22,28,24
LEXUS NX 300 F Sport,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,22,27,24
LEXUS NX 300h,2.5,4.0,SCV-6,4WD,Gasoline,small SUV,33,30,31
LEXUS RC 300,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,21,30,24
LEXUS RC 300,3.5,6.0,SemiAuto-6,4WD,Gasoline,small car,18,24,21
LEXUS RC 350,3.5,6.0,SemiAuto-6,4WD,Gasoline,small car,19,26,21
LEXUS RC 350,3.5,6.0,SemiAuto-8,2WD,Gasoline,small car,20,28,23
LEXUS RC F,5.0,8.0,SemiAuto-8,2WD,Gasoline,small car,16,24,19
LEXUS RX 350,3.5,6.0,SemiAuto-8,2WD,Gasoline,small SUV,20,27,23
LEXUS RX 350,3.5,6.0,SemiAuto-8,4WD,Gasoline,small SUV,19,26,22
LEXUS RX 350 L,3.5,6.0,SemiAuto-8,2WD,Gasoline,small SUV,19,26,22
LEXUS RX 350 L,3.5,6.0,SemiAuto-8,4WD,Gasoline,small SUV,18,25,21
LEXUS RX 450h,3.5,6.0,SCV-6,4WD,Gasoline,standard SUV,31,28,30
LEXUS RX 450h L,3.5,6.0,SCV-6,4WD,Gasoline,standard SUV,29,28,29
LEXUS UX 200,2.0,4.0,SCV-10,2WD,Gasoline,midsize car,29,37,33
LEXUS UX 250h,2.0,4.0,SCV-6,2WD,Gasoline,small car,43,41,42
LEXUS UX 250h,2.0,4.0,SCV-6,4WD,Gasoline,small car,41,38,39
LINCOLN Aviator,3.0,6.0,SemiAuto-10,2WD,Gasoline,standard SUV,18,26,21
LINCOLN Aviator,3.0,6.0,SemiAuto-10,4WD,Gasoline,standard SUV,17,24,20
LINCOLN Aviator PHEV,3.0,6.0,SemiAuto-10,4WD,Gasoline/Electricity,standard SUV,22,25,23
LINCOLN Continental,2.7,6.0,SemiAuto-6,2WD,Gasoline,large car,18,27,21
LINCOLN Continental,2.7,6.0,SemiAuto-6,4WD,Gasoline,large car,17,25,20
LINCOLN Continental Coach,3.0,6.0,SemiAuto-6,4WD,Gasoline,large car,16,24,19
LINCOLN Corsair,2.0,4.0,SemiAuto-8,2WD,Gasoline,small SUV,22,29,25
LINCOLN Corsair,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,21,29,24
LINCOLN MKZ,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,20,31,24
LINCOLN MKZ,2.0,4.0,SemiAuto-6,4WD,Gasoline,midsize car,20,29,23
LINCOLN MKZ Hybrid,2.0,4.0,CVT,2WD,Gasoline,midsize car,42,39,41
LINCOLN Nautilus,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,20,25,22
LINCOLN Navigator,3.5,6.0,SemiAuto-10,2WD,Gasoline,standard SUV,16,22,19
LINCOLN Navigator,3.5,6.0,SemiAuto-10,4WD,Gasoline,standard SUV,16,21,18
LINCOLN Navigator L,3.5,6.0,SemiAuto-10,2WD,Gasoline,standard SUV,16,21,18
LINCOLN Nuatilus,2.0,4.0,SemiAuto-8,2WD,Gasoline,small SUV,21,26,23
LOTUS Evora,3.5,6.0,Man-6,2WD,Gasoline,small car,16,24,19
LOTUS Evora,3.5,6.0,SemiAuto-6,2WD,Gasoline,small car,17,24,20
LOTUS Evora GT,3.5,6.0,Man-6,2WD,Gasoline,small car,17,26,20
LOTUS Evora GT,3.5,6.0,SemiAuto-6,2WD,Gasoline,small car,17,24,20
MASERATI Ghibli,3.0,6.0,Auto-8,2WD,Gasoline,midsize car,17,24,19
MASERATI Ghibli S,3.0,6.0,Auto-8,2WD,Gasoline,midsize car,17,24,19
MASERATI Ghibli S Q4,3.0,6.0,Auto-8,4WD,Gasoline,midsize car,16,24,19
MASERATI Levante,3.0,6.0,Auto-8,4WD,Gasoline,standard SUV,15,21,17
MASERATI Levante GTS,3.8,8.0,Auto-8,4WD,Gasoline,standard SUV,14,18,15
MASERATI Levante S,3.0,6.0,Auto-8,4WD,Gasoline,standard SUV,15,21,17
MASERATI Levante Trofeo,3.8,8.0,Auto-8,4WD,Gasoline,standard SUV,14,18,15
MASERATI Quattroporte GTS,3.8,8.0,Auto-8,2WD,Gasoline,large car,15,22,17
MASERATI Quattroporte S,3.0,6.0,Auto-8,2WD,Gasoline,large car,17,24,19
MASERATI Quattroporte S Q4,3.0,6.0,Auto-8,4WD,Gasoline,large car,16,23,18
MAZDA 2,1.5,4.0,Man-6,2WD,Gasoline,small car,30,39,34
MAZDA 2,1.5,4.0,SemiAuto-6,2WD,Gasoline,small car,32,40,35
MAZDA 3,2.5,4.0,Man-6,2WD,Gasoline,midsize car,25,35,29
MAZDA 3,2.5,4.0,SemiAuto-6,2WD,Gasoline,midsize car,26,35,30
MAZDA 3,2.5,4.0,SemiAuto-6,4WD,Gasoline,midsize car,24,32,27
MAZDA 6,2.5,4.0,SemiAuto-6,2WD,Gasoline,midsize car,26,35,29
MAZDA CX-3,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,29,34,31
MAZDA CX-3,2.0,4.0,SemiAuto-6,4WD,Gasoline,small car,27,32,29
MAZDA CX-30,2.5,4.0,SemiAuto-6,2WD,Gasoline,small SUV,25,33,28
MAZDA CX-30,2.5,4.0,SemiAuto-6,4WD,Gasoline,small SUV,24,31,26
MAZDA CX-5 2WD,2.5,4.0,SemiAuto-6,2WD,Gasoline,small SUV,25,31,28
MAZDA CX-5 4WD,2.5,4.0,SemiAuto-6,4WD,Gasoline,small SUV,24,30,26
MAZDA CX-9,2.5,4.0,SemiAuto-6,2WD,Gasoline,small SUV,22,28,24
MAZDA CX-9,2.5,4.0,SemiAuto-6,4WD,Gasoline,small SUV,20,26,23
MAZDA MX-5,2.0,4.0,Man-6,2WD,Gasoline,small car,26,34,29
MAZDA MX-5,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,26,35,30
MERCEDES-BENZ A 220,2.0,4.0,Auto-7,2WD,Gasoline,small car,24,35,28
MERCEDES-BENZ A 220 4Matic,2.0,4.0,Auto-7,4WD,Gasoline,small car,24,34,28
MERCEDES-BENZ AMG A35 4Matic,2.0,4.0,AutoMan-7,4WD,Gasoline,small car,24,31,27
MERCEDES-BENZ AMG C43 4Matic,3.0,6.0,Auto-9,4WD,Gasoline,small car,18,25,21
MERCEDES-BENZ AMG C63,4.0,8.0,Auto-9,2WD,Gasoline,small car,17,24,20
MERCEDES-BENZ AMG C63 S,4.0,8.0,Auto-9,2WD,Gasoline,small car,17,24,20
MERCEDES-BENZ AMG CLA 35 4Matic,2.0,4.0,AutoMan-7,4WD,Gasoline,small car,23,29,25
MERCEDES-BENZ AMG CLA45 4Matic,2.0,4.0,AutoMan-8,4WD,Gasoline,small car,20,29,23
MERCEDES-BENZ AMG CLS 53 4Matic+,3.0,6.0,Auto-9,4WD,Gasoline,small car,21,27,23
MERCEDES-BENZ AMG E 53 4Matic+,3.0,6.0,Auto-9,4WD,Gasoline,midsize car,21,28,24
MERCEDES-BENZ AMG E63 S 4Matic+,4.0,8.0,Auto-9,4WD,Gasoline,midsize car,15,23,18
MERCEDES-BENZ AMG G63,4.0,8.0,Auto-9,4WD,Gasoline,standard SUV,13,15,14
MERCEDES-BENZ AMG GLC43 4Matic,3.0,6.0,Auto-9,4WD,Gasoline,small SUV,18,24,21
MERCEDES-BENZ AMG GLC63 4Matic+,4.0,8.0,Auto-9,4WD,Gasoline,small SUV,16,22,18
MERCEDES-BENZ AMG GLC63 S 4Matic+,4.0,8.0,Auto-9,4WD,Gasoline,small SUV,16,22,18
MERCEDES-BENZ AMG GT,4.0,8.0,AutoMan-7,2WD,Gasoline,small car,16,22,18
MERCEDES-BENZ AMG GT 53 4Matic+,3.0,6.0,Auto-9,4WD,Gasoline,small car,19,24,21
MERCEDES-BENZ AMG GT 63 4Matic+,4.0,8.0,Auto-9,4WD,Gasoline,small car,15,20,17
MERCEDES-BENZ AMG GT 63 S 4Matic+,4.0,8.0,Auto-9,4WD,Gasoline,small car,15,20,17
MERCEDES-BENZ AMG GT C,4.0,8.0,AutoMan-7,2WD,Gasoline,small car,15,20,17
MERCEDES-BENZ AMG GT R,4.0,8.0,AutoMan-7,2WD,Gasoline,small car,15,20,17
MERCEDES-BENZ AMG S63 4Matic+,4.0,8.0,Auto-9,4WD,Gasoline,large car,17,26,20
MERCEDES-BENZ AMG S65,6.0,12.0,Auto-7,2WD,Gasoline,large car,13,22,16
MERCEDES-BENZ AMG SLC 43,3.0,6.0,Auto-9,2WD,Gasoline,small car,20,29,23
MERCEDES-BENZ C300,2.0,4.0,Auto-9,2WD,Gasoline,small car,21,29,24
MERCEDES-BENZ C300 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,small car,21,29,24
MERCEDES-BENZ CLA250,2.0,4.0,AutoMan-7,2WD,Gasoline,small car,25,35,28
MERCEDES-BENZ CLA250 4Matic,2.0,4.0,AutoMan-7,4WD,Gasoline,small car,23,33,27
MERCEDES-BENZ CLS450,3.0,6.0,Auto-9,2WD,Gasoline,small car,24,31,26
MERCEDES-BENZ CLS450 4Matic,3.0,6.0,Auto-9,4WD,Gasoline,small car,23,30,26
MERCEDES-BENZ E350,2.0,4.0,Auto-9,2WD,Gasoline,midsize car,23,32,26
MERCEDES-BENZ E350 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,midsize car,22,30,25
MERCEDES-BENZ E450,3.0,6.0,Auto-9,2WD,Gasoline,small car,20,28,23
MERCEDES-BENZ E450 4Matic,3.0,6.0,Auto-9,4WD,Gasoline,midsize car,20,28,23
MERCEDES-BENZ E450 4Matic Convertible,3.0,6.0,Auto-9,4WD,Gasoline,small car,19,26,22
MERCEDES-BENZ E450 Convertible,3.0,6.0,Auto-9,2WD,Gasoline,small car,20,27,23
MERCEDES-BENZ G550,4.0,8.0,Auto-9,4WD,Gasoline,standard SUV,13,17,14
MERCEDES-BENZ GLA 250,2.0,4.0,AutoMan-7,2WD,Gasoline,small SUV,24,34,28
MERCEDES-BENZ GLA250 4Matic,2.0,4.0,AutoMan-7,4WD,Gasoline,small SUV,22,30,25
MERCEDES-BENZ GLB 250,2.0,4.0,AutoMan-8,2WD,Gasoline,special purpose,23,30,26
MERCEDES-BENZ GLB 250 4Matic,2.0,4.0,AutoMan-8,4WD,Gasoline,small SUV,23,31,26
MERCEDES-BENZ GLC 300,2.0,4.0,Auto-9,2WD,Gasoline,small SUV,22,29,24
MERCEDES-BENZ GLC 300 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,21,28,24
MERCEDES-BENZ GLC 350e 4Matic,2.0,4.0,Auto-9,4WD,Gasoline/Electricity,small SUV,23,28,25
MERCEDES-BENZ GLE 580 4Matic,4.0,8.0,Auto-9,4WD,Gasoline,standard SUV,17,21,19
MERCEDES-BENZ GLE350,2.0,4.0,Auto-9,2WD,Gasoline,small SUV,20,27,22
MERCEDES-BENZ GLE350 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,19,26,22
MERCEDES-BENZ GLE450 4Matic,3.0,6.0,Auto-9,4WD,Gasoline,standard SUV,19,24,21
MERCEDES-BENZ GLS 580 4Matic,4.0,8.0,Auto-9,4WD,Gasoline,standard SUV,16,21,18
MERCEDES-BENZ GLS450 4Matic,3.0,6.0,Auto-9,4WD,Gasoline,standard SUV,19,23,21
MERCEDES-BENZ Maybach S650,6.0,12.0,Auto-7,2WD,Gasoline,large car,13,21,16
MERCEDES-BENZ Metris,2.0,4.0,Auto-7,2WD,Gasoline,special purpose,19,23,21
MERCEDES-BENZ S450,3.0,6.0,Auto-9,2WD,Gasoline,large car,19,28,22
MERCEDES-BENZ S450 4Matic,3.0,6.0,Auto-9,4WD,Gasoline,large car,18,28,22
MERCEDES-BENZ S560,4.0,8.0,Auto-9,2WD,Gasoline,large car,17,27,21
MERCEDES-BENZ S560 4Matic,4.0,8.0,Auto-9,4WD,Gasoline,large car,17,27,21
MERCEDES-BENZ S560 4Matic Maybach,4.0,8.0,Auto-9,4WD,Gasoline,large car,16,25,19
MERCEDES-BENZ S560 e,3.0,6.0,Auto-9,2WD,Gasoline/Electricity,large car,21,26,23
MERCEDES-BENZ SL450,3.0,6.0,Auto-9,2WD,Gasoline,small car,20,28,22
MERCEDES-BENZ SL550,4.7,8.0,Auto-9,2WD,Gasoline,small car,17,25,20
MERCEDES-BENZ SLC300,2.0,4.0,Auto-9,2WD,Gasoline,small car,23,32,27
MINI Cooper Convertible,1.5,3.0,AMS-7,2WD,Gasoline,small car,28,36,31
MINI Cooper Countryman,1.5,3.0,AMS-7,2WD,Gasoline,midsize car,26,33,29
MINI Cooper Countryman All4,1.5,3.0,SemiAuto-8,4WD,Gasoline,midsize car,24,33,27
MINI Cooper Hardtop,1.5,3.0,AMS-7,2WD,Gasoline,small car,28,36,31
MINI Cooper S Clubman,2.0,4.0,AMS-7,2WD,Gasoline,midsize car,26,34,29
MINI Cooper S Clubman All4,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,23,32,26
MINI Cooper S Convertible,2.0,4.0,AMS-7,2WD,Gasoline,small car,26,34,29
MINI Cooper S Countryman,2.0,4.0,AMS-7,2WD,Gasoline,midsize car,24,33,28
MINI Cooper S Countryman All4,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,23,31,26
MINI Cooper S Hardtop,2.0,4.0,AMS-7,2WD,Gasoline,small car,26,35,30
MINI Cooper SE Countryman All4,1.5,3.0,SemiAuto-6,4WD,Gasoline/Electricity,midsize car,29,30,29
MINI Cooper SE Hardtop,,,Auto-1,2WD,Electricity,small car,115,100,108
MINI JCW Countryman All4,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,23,30,26
MINI John Cooper Works Clubman All4,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,23,31,26
MINI John Cooper Works Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,25,33,28
MINI John Cooper Works Hardtop,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,26,34,29
MITSUBISHI Eclipse Cross,1.5,4.0,SCV-8,2WD,Gasoline,small SUV,25,28,26
MITSUBISHI Eclipse Cross,1.5,4.0,SCV-8,4WD,Gasoline,small SUV,25,26,25
MITSUBISHI Eclipse Cross ES,1.5,4.0,SCV-8,2WD,Gasoline,small SUV,26,29,27
MITSUBISHI Eclipse Cross ES,1.5,4.0,SCV-8,4WD,Gasoline,small SUV,25,28,26
MITSUBISHI Mirage,1.2,3.0,CVT,2WD,Gasoline,small car,36,43,39
MITSUBISHI Mirage,1.2,3.0,Man-5,2WD,Gasoline,small car,33,41,36
