Model,Displacement,# of Cylinders,Transmission,Drive,Fuel,Type,City MPG,Highway MPG,Combined MPG
MITSUBISHI Mirage G4,1.2,3.0,CVT,2WD,Gasoline,small car,35,41,37
MITSUBISHI Mirage G4,1.2,3.0,Man-5,2WD,Gasoline,small car,33,40,35
MITSUBISHI Outlander,2.4,4.0,SCV-6,2WD,Gasoline,small SUV,25,30,27
MITSUBISHI Outlander,2.4,4.0,SCV-6,4WD,Gasoline,small SUV,24,29,26
MITSUBISHI Outlander,3.0,6.0,SemiAuto-6,4WD,Gasoline,small SUV,20,27,22
MITSUBISHI Outlander PHEV,2.0,4.0,Auto-1,4WD,Gasoline/Electricity,small SUV,25,26,25
MITSUBISHI Outlander Sport,2.0,4.0,SCV-6,2WD,Gasoline,small SUV,24,30,27
MITSUBISHI Outlander Sport,2.0,4.0,SCV-6,4WD,Gasoline,small SUV,23,29,26
McLAREN 570S Coupe,3.8,8.0,AMS-7,2WD,Gasoline,small car,15,22,18
McLAREN 570S Spider,3.8,8.0,AMS-7,2WD,Gasoline,small car,15,22,18
McLAREN 600LT Spider,3.8,8.0,AMS-7,2WD,Gasoline,small car,15,22,18
McLAREN 620R Coupe,3.8,8.0,AMS-7,2WD,Gasoline,small car,15,22,18
McLAREN 720S Coupe,4.0,8.0,AMS-7,2WD,Gasoline,small car,15,22,18
McLAREN 720S Spider,4.0,8.0,AMS-7,2WD,Gasoline,small car,15,22,18
McLAREN GT,4.0,8.0,AMS-7,2WD,Gasoline,small car,15,22,18
McLAREN Speedtail,4.0,8.0,AMS-7,2WD,Gasoline,small car,12,20,15
NISSAN 370Z,3.7,6.0,Man-6,2WD,Gasoline,small car,17,26,20
NISSAN 370Z,3.7,6.0,SemiAuto-7,2WD,Gasoline,small car,19,26,22
NISSAN 370Z Roadster,3.7,6.0,SemiAuto-7,2WD,Gasoline,small car,18,25,21
NISSAN Altima,2.5,4.0,CVT,2WD,Gasoline,midsize car,28,39,32
NISSAN Altima,2.5,4.0,CVT,4WD,Gasoline,midsize car,26,36,30
NISSAN Altima SR/Platinum,2.0,4.0,CVT,2WD,Gasoline,midsize car,25,34,29
NISSAN Altima SR/Platinum,2.5,4.0,CVT,4WD,Gasoline,midsize car,25,35,29
NISSAN Armada,5.6,8.0,SemiAuto-7,2WD,Gasoline,standard SUV,14,19,16
NISSAN Armada,5.6,8.0,SemiAuto-7,4WD,Gasoline,standard SUV,13,18,15
NISSAN Frontier,3.8,6.0,SemiAuto-9,2WD,Gasoline,pickup,18,24,20
NISSAN Frontier,3.8,6.0,SemiAuto-9,4WD,Gasoline,pickup,17,23,19
NISSAN GT-R,3.8,6.0,AMS-6,4WD,Gasoline,small car,16,22,18
NISSAN Kicks,1.6,4.0,CVT,2WD,Gasoline,midsize car,31,36,33
NISSAN Leaf,,,Auto-1,2WD,Electricity,midsize car,123,99,111
NISSAN Leaf SV/SL,,,Auto-1,2WD,Electricity,midsize car,114,94,104
NISSAN Maxima,3.5,6.0,SCV-7,2WD,Gasoline,midsize car,20,30,24
NISSAN Murano,3.5,6.0,SCV-7,2WD,Gasoline,station wagon,20,28,23
NISSAN Murano,3.5,6.0,SCV-7,4WD,Gasoline,station wagon,20,28,23
NISSAN NV200,2.0,4.0,CVT,2WD,Gasoline,special purpose,24,26,25
NISSAN Pathfinder,3.5,6.0,CVT,2WD,Gasoline,small SUV,20,27,23
NISSAN Pathfinder,3.5,6.0,CVT,4WD,Gasoline,small SUV,20,27,22
NISSAN Pathfinder 4WD Platinum,3.5,6.0,CVT,4WD,Gasoline,small SUV,19,26,21
NISSAN Rogue,2.5,4.0,CVT,2WD,Gasoline,small SUV,26,33,29
NISSAN Rogue,2.5,4.0,CVT,4WD,Gasoline,small SUV,25,32,27
NISSAN Rogue Sport,2.0,4.0,SCV-8,2WD,Gasoline,station wagon,25,32,28
NISSAN Rogue Sport,2.0,4.0,SCV-8,4WD,Gasoline,station wagon,24,30,27
NISSAN Sentra,2.0,4.0,CVT,2WD,Gasoline,midsize car,29,39,33
NISSAN Sentra SR,2.0,4.0,CVT,2WD,Gasoline,midsize car,28,37,32
NISSAN Titan,5.6,8.0,SemiAuto-9,2WD,Gasoline,pickup,16,22,18
NISSAN Titan,5.6,8.0,SemiAuto-9,4WD,Gasoline,pickup,15,21,18
NISSAN Titan Pro-4X,5.6,8.0,SemiAuto-9,4WD,Gasoline,pickup,15,21,17
NISSAN Versa,1.6,4.0,CVT,2WD,Gasoline,small car,32,40,35
NISSAN Versa,1.6,4.0,Man-5,2WD,Gasoline,small car,27,35,30
PAGANI Polestar 1,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,small car,22,31,26
PORSCHE 718 Cayman GT4,4.0,6.0,Man-6,2WD,Gasoline,small car,16,23,19
PORSCHE 718 Spyder,4.0,6.0,Man-6,2WD,Gasoline,small car,16,23,19
PORSCHE 911 Carrera,3.0,6.0,AMS-8,2WD,Gasoline,small car,18,24,20
PORSCHE 911 Carrera 4,3.0,6.0,AMS-8,4WD,Gasoline,small car,18,24,20
PORSCHE 911 Carrera 4 Cabriolet,3.0,6.0,AMS-8,4WD,Gasoline,small car,18,24,20
PORSCHE 911 Carrera 4S,3.0,6.0,AMS-8,4WD,Gasoline,small car,18,23,20
PORSCHE 911 Carrera 4S,3.0,6.0,Man-7,4WD,Gasoline,small car,17,24,20
PORSCHE 911 Carrera 4S Cabriolet,3.0,6.0,AMS-8,4WD,Gasoline,small car,18,23,20
PORSCHE 911 Carrera 4S Cabriolet,3.0,6.0,Man-7,4WD,Gasoline,small car,17,24,20
PORSCHE 911 Carrera Cabriolet,3.0,6.0,AMS-8,2WD,Gasoline,small car,17,24,20
PORSCHE 911 Carrera S,3.0,6.0,AMS-8,2WD,Gasoline,small car,18,24,20
PORSCHE 911 Carrera S,3.0,6.0,Man-7,2WD,Gasoline,small car,17,25,20
PORSCHE 911 Carrera S Cabriolet,3.0,6.0,AMS-8,2WD,Gasoline,small car,18,23,20
PORSCHE 911 Carrera S Cabriolet,3.0,6.0,Man-7,2WD,Gasoline,small car,17,25,20
PORSCHE Boxster,2.0,4.0,AMS-7,2WD,Gasoline,small car,21,27,24
PORSCHE Boxster,2.0,4.0,Man-6,2WD,Gasoline,small car,20,26,22
PORSCHE Boxster S,2.5,4.0,AMS-7,2WD,Gasoline,small car,19,25,22
PORSCHE Boxster S,2.5,4.0,Man-6,2WD,Gasoline,small car,19,24,21
PORSCHE Boxster T,2.0,4.0,AMS-7,2WD,Gasoline,small car,21,27,23
PORSCHE Boxster T,2.0,4.0,Man-6,2WD,Gasoline,small car,20,26,22
PORSCHE Cayenne,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,19,23,20
PORSCHE Cayenne S,2.9,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,18,22,19
PORSCHE Cayenne Turbo,4.0,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,15,19,17
PORSCHE Cayenne Turbo S e-Hybrid,4.0,8.0,SemiAuto-8,4WD,Gasoline/Electricity,standard SUV,16,20,18
PORSCHE Cayenne e-Hybrid,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,standard SUV,20,22,21
PORSCHE Cayman,2.0,4.0,AMS-7,2WD,Gasoline,small car,21,27,24
PORSCHE Cayman,2.0,4.0,Man-6,2WD,Gasoline,small car,20,26,22
PORSCHE Cayman S,2.5,4.0,AMS-7,2WD,Gasoline,small car,19,25,22
PORSCHE Cayman S,2.5,4.0,Man-6,2WD,Gasoline,small car,19,24,21
PORSCHE Macan,2.0,4.0,AMS-7,4WD,Gasoline,small SUV,19,23,21
PORSCHE Macan GTS,2.9,6.0,AMS-7,4WD,Gasoline,small SUV,17,22,19
PORSCHE Macan S,3.0,6.0,AMS-7,4WD,Gasoline,small SUV,18,23,20
PORSCHE Macan Turbo,2.9,6.0,AMS-7,4WD,Gasoline,small SUV,17,22,19
PORSCHE Panamera,3.0,6.0,AMS-8,2WD,Gasoline,large car,19,27,22
PORSCHE Panamera 4,3.0,6.0,AMS-8,4WD,Gasoline,large car,19,26,22
PORSCHE Panamera 4 Executive,3.0,6.0,AMS-8,4WD,Gasoline,large car,19,26,22
PORSCHE Panamera 4 ST,3.0,6.0,AMS-8,4WD,Gasoline,large car,19,26,22
PORSCHE Panamera 4 e-Hybrid,2.9,6.0,AMS-8,4WD,Gasoline/Electricity,large car,21,24,23
PORSCHE Panamera 4 e-Hybrid Executive,2.9,6.0,AMS-8,4WD,Gasoline/Electricity,large car,21,24,23
PORSCHE Panamera 4 e-Hybrid ST,2.9,6.0,AMS-8,4WD,Gasoline/Electricity,large car,21,24,23
PORSCHE Panamera 4S,2.9,6.0,AMS-8,4WD,Gasoline,large car,18,26,21
PORSCHE Panamera 4S Executive,2.9,6.0,AMS-8,4WD,Gasoline,large car,18,26,21
PORSCHE Panamera 4S ST,2.9,6.0,AMS-8,4WD,Gasoline,large car,18,24,20
PORSCHE Panamera GTS,4.0,8.0,AMS-8,4WD,Gasoline,large car,16,23,19
PORSCHE Panamera GTS ST,4.0,8.0,AMS-8,4WD,Gasoline,large car,15,22,18
PORSCHE Panamera Turbo,4.0,8.0,AMS-8,4WD,Gasoline,large car,18,25,21
PORSCHE Panamera Turbo Exec,4.0,8.0,AMS-8,4WD,Gasoline,large car,18,25,21
PORSCHE Panamera Turbo S e-Hybrid,4.0,8.0,AMS-8,4WD,Gasoline/Electricity,large car,19,22,20
PORSCHE Panamera Turbo S e-Hybrid Exec,4.0,8.0,AMS-8,4WD,Gasoline/Electricity,large car,19,22,20
PORSCHE Panamera Turbo S e-Hybrid ST,4.0,8.0,AMS-8,4WD,Gasoline/Electricity,large car,19,22,20
PORSCHE Panamera Turbo ST,4.0,8.0,AMS-8,4WD,Gasoline,large car,18,23,20
PORSCHE Taycan 4S Perf Battery Plus,,,Auto-2,4WD,Electricity,large car,68,71,69
PORSCHE Taycan Turbo,,,Auto-2,4WD,Electricity,large car,68,71,69
PORSCHE Taycan Turbo S,,,Auto-2,4WD,Electricity,large car,67,68,68
PORSHCE Cayman T,2.0,4.0,AMS-7,2WD,Gasoline,small car,21,27,23
PORSHCE Cayman T,2.0,4.0,Man-6,2WD,Gasoline,small car,20,26,22
RAM 1500,3.0,6.0,Auto-8,2WD,Diesel,pickup,22,32,26
RAM 1500,3.0,6.0,Auto-8,4WD,Diesel,pickup,21,29,24
RAM 1500,3.6,6.0,Auto-8,2WD,Gasoline,pickup,20,25,22
RAM 1500,3.6,6.0,Auto-8,4WD,Gasoline,pickup,19,24,21
RAM 1500 Classic,3.6,6.0,Auto-8,2WD,Gasoline,pickup,17,25,20
RAM 1500 Classic,3.6,6.0,Auto-8,4WD,Gasoline,pickup,16,23,19
RAM 1500 HFE,3.6,6.0,Auto-8,2WD,Gasoline,pickup,20,26,23
RAM Promaster City,2.4,4.0,Auto-9,2WD,Gasoline,special purpose,21,28,24
ROLLS-ROYCE Cullinan,6.7,12.0,SemiAuto-8,4WD,Gasoline,station wagon,12,20,14
ROLLS-ROYCE Cullinan Black Badge,6.7,12.0,SemiAuto-8,4WD,Gasoline,station wagon,12,20,14
ROLLS-ROYCE Dawn,6.6,12.0,SemiAuto-8,2WD,Gasoline,small car,12,18,14
ROLLS-ROYCE Ghost,6.6,12.0,SemiAuto-8,2WD,Gasoline,large car,12,18,14
ROLLS-ROYCE Ghost EWB,6.6,12.0,SemiAuto-8,2WD,Gasoline,large car,12,18,14
ROLLS-ROYCE Phantom,6.7,12.0,SemiAuto-8,2WD,Gasoline,large car,12,20,14
ROLLS-ROYCE Phantom EWB,6.7,12.0,SemiAuto-8,2WD,Gasoline,large car,12,20,14
ROLLS-ROYCE Wraith,6.6,12.0,SemiAuto-8,2WD,Gasoline,midsize car,12,18,14
ROUSH F150,5.0,8.0,SemiAuto-10,2WD,Gasoline,pickup,11,15,13
ROUSH F150,5.0,8.0,SemiAuto-10,4WD,Gasoline,pickup,11,15,13
ROUSH Stage 3 Mustang,5.0,8.0,Man-6,2WD,Gasoline,small car,13,20,15
ROUSH Stage 3 Mustang,5.0,8.0,SemiAuto-10,2WD,Gasoline,small car,12,18,14
SUBARU Ascent,2.4,4.0,SCV-8,4WD,Gasoline,standard SUV,21,27,23
SUBARU Ascent Limited/Touring,2.4,4.0,SCV-8,4WD,Gasoline,standard SUV,20,26,22
SUBARU BRZ,2.0,4.0,Man-6,2WD,Gasoline,small car,21,29,24
SUBARU BRZ,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,24,33,27
SUBARU BRZ tS,2.0,4.0,Man-6,2WD,Gasoline,small car,20,27,23
SUBARU Crosstrek,2.0,4.0,Man-6,4WD,Gasoline,small SUV,22,29,25
SUBARU Crosstrek,2.0,4.0,SCV-8,4WD,Gasoline,small SUV,27,33,30
SUBARU Crosstrek Hybrid,2.0,4.0,CVT,4WD,Gasoline/Electricity,small SUV,36,35,35
SUBARU Forester,2.5,4.0,SCV-7,4WD,Gasoline,small SUV,26,33,29
SUBARU Impreza,2.0,4.0,Man-5,4WD,Gasoline,midsize car,23,31,26
SUBARU Impreza,2.0,4.0,SCV-7,4WD,Gasoline,midsize car,28,36,31
SUBARU Impreza 4-Door Sport,2.0,4.0,Man-5,4WD,Gasoline,midsize car,23,31,26
SUBARU Impreza 4-Door Sport,2.0,4.0,SCV-7,4WD,Gasoline,midsize car,27,36,30
SUBARU Impreza 5-Door Sport,2.0,4.0,Man-5,4WD,Gasoline,station wagon,22,30,25
SUBARU Impreza 5-Door Sport,2.0,4.0,SCV-7,4WD,Gasoline,station wagon,27,35,30
SUBARU Legacy,2.4,4.0,SCV-8,4WD,Gasoline,large car,24,32,27
SUBARU Outback AWD,2.4,4.0,SCV-8,4WD,Gasoline,small SUV,23,30,26
SUBARU WRX,2.0,4.0,Man-6,4WD,Gasoline,small car,21,27,23
SUBARU WRX,2.0,4.0,SCV-8,4WD,Gasoline,small car,18,24,21
TESLA Model 3 Long Range,,,Auto-1,4WD,Electricity,midsize car,124,116,121
"TESLA Model 3 Long Range Perform 18""",,,Auto-1,4WD,Electricity,midsize car,124,116,121
"TESLA Model 3 Long Range Perform 19""",,,Auto-1,4WD,Electricity,midsize car,119,112,116
"TESLA Model 3 Long Range Perform 20""",,,Auto-1,4WD,Electricity,midsize car,118,107,113
TESLA Model 3 Mid Range,,,Auto-1,2WD,Electricity,midsize car,128,117,123
TESLA Model 3 Standard Range,,,Auto-1,2WD,Electricity,midsize car,138,124,131
TESLA Model 3 Standard Range Plus,,,Auto-1,2WD,Electricity,midsize car,148,132,141
TESLA Model 4 Long Range,,,Auto-1,2WD,Electricity,midsize car,136,123,130
TESLA Model S Long Range,,,Auto-1,4WD,Electricity,large car,115,107,111
TESLA Model S Long Range Plus,,,Auto-1,4WD,Electricity,large car,121,112,117
"TESLA Model S Performance (19"")",,,Auto-1,4WD,Electricity,large car,104,104,104
"TESLA Model S Performance (21"")",,,Auto-1,4WD,Electricity,large car,98,96,97
TESLA Model S Standard Range,,,Auto-1,4WD,Electricity,large car,113,105,109
TESLA Model X Long Range,,,Auto-1,4WD,Electricity,standard SUV,99,93,96
TESLA Model X Long Range Plus,,,Auto-1,4WD,Electricity,standard SUV,108,101,105
"TESLA Model X Performance (20"")",,,Auto-1,4WD,Electricity,standard SUV,90,89,90
"TESLA Model X Performance (22"")",,,Auto-1,4WD,Electricity,standard SUV,80,77,79
TESLA Model X Standard Range,,,Auto-1,4WD,Electricity,standard SUV,105,98,101
TESLA Model Y Long Range,,,Auto-1,4WD,Electricity,small SUV,127,114,121
TESLA Model Y Performance,,,Auto-1,4WD,Electricity,small SUV,129,112,121
TOYOTA 4Runner,4.0,6.0,SemiAuto-5,2WD,Gasoline,standard SUV,16,19,17
TOYOTA 4Runner,4.0,6.0,SemiAuto-5,4WD,Gasoline,standard SUV,16,19,17
TOYOTA 86,2.0,4.0,Man-6,2WD,Gasoline,small car,21,28,24
TOYOTA 86,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,24,32,27
TOYOTA Avalon,3.5,6.0,SemiAuto-8,2WD,Gasoline,midsize car,22,31,25
TOYOTA Avalon Hybrid,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,43,43,43
TOYOTA Avalon Hybrid XLE,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,43,44,44
TOYOTA Avalon XLE,3.5,6.0,SemiAuto-8,2WD,Gasoline,midsize car,22,32,26
TOYOTA C-HR,2.0,4.0,SCV-7,2WD,Gasoline,small car,27,31,29
TOYOTA Camry,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,29,41,34
TOYOTA Camry Hybrid LE,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,51,53,52
TOYOTA Camry Hybrid XLE/SE,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,44,47,46
TOYOTA Camry LE/SE,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,28,39,32
TOYOTA Camry LE/SE,2.5,4.0,SemiAuto-8,4WD,Gasoline,midsize car,25,34,29
TOYOTA Camry TRD,3.5,6.0,SemiAuto-8,2WD,Gasoline,midsize car,22,31,25
TOYOTA Camry XLE/XSE,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,27,38,31
TOYOTA Camry XLE/XSE,2.5,4.0,SemiAuto-8,4WD,Gasoline,midsize car,25,34,28
TOYOTA Camry XSE,3.5,6.0,SemiAuto-8,2WD,Gasoline,midsize car,22,32,26
TOYOTA Corolla,1.8,4.0,CVT,2WD,Gasoline,small car,30,38,33
TOYOTA Corolla,1.8,4.0,Man-6,2WD,Gasoline,small car,29,39,33
TOYOTA Corolla,2.0,4.0,SCV-10,2WD,Gasoline,small car,31,40,34
TOYOTA Corolla Hatchback,2.0,4.0,Man-6,2WD,Gasoline,small car,28,37,31
TOYOTA Corolla Hatchback,2.0,4.0,SCV-10,2WD,Gasoline,small car,32,41,35
TOYOTA Corolla Hatchback XSE,2.0,4.0,SCV-10,2WD,Gasoline,small car,30,38,33
TOYOTA Corolla Hybrid,1.8,4.0,CVT,2WD,Gasoline,small car,53,52,52
TOYOTA Corolla XLE,1.8,4.0,CVT,2WD,Gasoline,small car,29,37,32
TOYOTA Corolla XSE,2.0,4.0,SCV-10,2WD,Gasoline,small car,31,38,34
TOYOTA Highlander,3.5,6.0,SemiAuto-8,2WD,Gasoline,small SUV,20,28,23
TOYOTA Highlander,3.5,6.0,SemiAuto-8,4WD,Gasoline,small SUV,20,27,23
TOYOTA Highlander Hybrid,2.5,4.0,SCV-6,2WD,Gasoline,small SUV,36,35,36
TOYOTA Highlander Hybrid,2.5,4.0,SCV-6,4WD,Gasoline,standard SUV,35,35,35
TOYOTA Highlander Hybrid LTD/PLAT,2.5,4.0,SCV-6,4WD,Gasoline,standard SUV,35,34,35
TOYOTA Land Cruiser,5.7,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,13,17,14
TOYOTA Mirai,,,CVT,2WD,Hydrogen,small car,67,67,67
TOYOTA Prius,1.8,4.0,CVT,2WD,Gasoline,midsize car,54,50,52
TOYOTA Prius,1.8,4.0,CVT,4WD,Gasoline,midsize car,52,48,50
TOYOTA Prius Eco,1.8,4.0,CVT,2WD,Gasoline,midsize car,58,53,56
TOYOTA Prius Prime,1.8,4.0,CVT,2WD,Gasoline/Electricity,midsize car,55,53,54
TOYOTA RAV4,2.5,4.0,SemiAuto-8,2WD,Gasoline,small SUV,26,35,30
TOYOTA RAV4,2.5,4.0,SemiAuto-8,4WD,Gasoline,small SUV,25,33,28
TOYOTA RAV4 Hybrid,2.5,4.0,SCV-6,4WD,Gasoline,small SUV,41,38,40
TOYOTA RAV4 LE,2.5,4.0,SemiAuto-8,4WD,Gasoline,small SUV,27,34,30
TOYOTA RAV4 TRD Offroad,2.5,4.0,SemiAuto-8,4WD,Gasoline,small SUV,25,32,27
TOYOTA Sequoia,5.7,8.0,SemiAuto-6,2WD,Gasoline,standard SUV,13,17,15
TOYOTA Sequoia,5.7,8.0,SemiAuto-6,4WD,Gasoline,standard SUV,13,17,14
TOYOTA Sienna,3.5,6.0,SemiAuto-8,2WD,Gasoline,minivan,19,26,21
TOYOTA Sienna,3.5,6.0,SemiAuto-8,4WD,Gasoline,minivan,18,24,20
TOYOTA Supra 3.0,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,24,31,26
TOYOTA Tacoma,2.7,4.0,SemiAuto-6,2WD,Gasoline,pickup,20,23,21
TOYOTA Tacoma,2.7,4.0,SemiAuto-6,4WD,Gasoline,pickup,19,22,20
TOYOTA Tacoma,3.5,6.0,Man-6,4WD,Gasoline,pickup,17,21,18
TOYOTA Tacoma D-CAB MT TRD-ORP/PRO,3.5,6.0,Man-6,4WD,Gasoline,pickup,17,20,18
TOYOTA Tundra,5.7,8.0,SemiAuto-6,2WD,Gasoline,pickup,13,18,15
TOYOTA Tundra,5.7,8.0,SemiAuto-6,4WD,Gasoline,pickup,13,17,14
TOYOTA Yaris,1.5,4.0,Man-6,2WD,Gasoline,small car,30,39,34
TOYOTA Yaris,1.5,4.0,SemiAuto-6,2WD,Gasoline,small car,32,40,35
VOLKSWAGEN Arteon,2.0,4.0,SemiAuto-8,2WD,Gasoline,large car,22,29,25
VOLKSWAGEN Arteon 4Motion,2.0,4.0,SemiAuto-8,4WD,Gasoline,large car,20,29,23
VOLKSWAGEN Atlas,2.0,4.0,SemiAuto-8,2WD,Gasoline,small SUV,20,24,22
VOLKSWAGEN Atlas 4Motion,3.6,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,16,22,19
VOLKSWAGEN Atlas Cross Sport,2.0,4.0,SemiAuto-8,2WD,Gasoline,small SUV,21,24,22
VOLKSWAGEN Atlas Cross Sport 4Motion,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,18,23,20
VOLKSWAGEN GTI,2.0,4.0,AMS-7,2WD,Gasoline,small car,24,32,27
VOLKSWAGEN GTI,2.0,4.0,Man-6,2WD,Gasoline,small car,24,32,27
VOLKSWAGEN Golf,1.4,4.0,Man-6,2WD,Gasoline,small car,28,36,31
VOLKSWAGEN Golf,1.4,4.0,SemiAuto-8,2WD,Gasoline,small car,29,35,32
VOLKSWAGEN Jetta,1.4,4.0,Man-6,2WD,Gasoline,small car,30,40,34
VOLKSWAGEN Jetta,1.4,4.0,SemiAuto-8,2WD,Gasoline,small car,30,40,34
VOLKSWAGEN Jetta,2.0,4.0,AMS-7,2WD,Gasoline,small car,25,32,28
VOLKSWAGEN Passat,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,23,34,27
VOLKSWAGEN Tiguan,2.0,4.0,SemiAuto-8,2WD,Gasoline,small SUV,22,29,25
VOLKSWAGEN Tiguan 4Motion,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,20,27,23
VOLVO S60,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,23,34,27
VOLVO S60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,21,32,25
VOLVO S60,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,small car,28,33,30
VOLVO S90,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,21,31,25
VOLVO S90,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,midsize car,28,31,30
VOLVO V60,2.0,4.0,SemiAuto-8,2WD,Gasoline,station wagon,23,34,27
VOLVO V60,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,station wagon,28,33,30
VOLVO V60 CC,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,22,31,25
VOLVO V90,2.0,4.0,SemiAuto-8,2WD,Gasoline,station wagon,22,33,26
VOLVO V90,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,21,31,25
VOLVO V90 CC,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,20,30,24
VOLVO XC40,2.0,4.0,SemiAuto-8,2WD,Gasoline,small SUV,23,33,27
VOLVO XC40,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,22,30,25
VOLVO XC60,2.0,4.0,SemiAuto-8,2WD,Gasoline,small SUV,22,29,24
VOLVO XC60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,20,27,23
VOLVO XC60,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,small SUV,26,28,27
VOLVO XC90,2.0,4.0,SemiAuto-8,2WD,Gasoline,standard SUV,21,30,25
VOLVO XC90,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,18,26,21
VOLVO XC90,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,standard SUV,26,28,27
